0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
112.984665,-108.58455,98.4055,-5.862913,75.482956,-18.278355,-11.018396,8.079313,7.2996073,-4.4614673,27.030735,-23.750689,4.5434136,11.293966,23.143028,-0.45558184,11.388621,-9.99203,11.09684,-14.986784,-7.8052673,-2.1029367,11.003256,3.3697486,10.409406,-2.752088,-15.042528,-38.173824,-18.650585,16.011705,15.6910925,-18.376673,35.619118,11.528718,7.351158,-29.325428,-13.396785,-13.527774,-7.956706,-26.595251,2.2496107,-19.860636,24.594555,5.977574,17.579927,22.419937,44.141315,21.524336,-28.523117,-0.5112484
86.29622,-93.42152,75.39887,-14.539197,52.03938,-19.333712,-6.2658253,7.8422494,-15.831164,7.516708,-1.2921271,-16.20427,3.9421844,-0.8797259,2.8032975,-7.2128305,-0.033853583,2.448982,4.670091,-8.580551,1.7736831,2.618404,12.958489,-1.2475206,12.076681,-5.181107,-7.4567947,-0.96413237,1.1841248,-4.522832,-2.1338537,5.5435114,0.39224097,10.448289,-4.4348297,-13.758505,5.8366494,-2.6579359,-10.427102,10.640434,-6.607203,-21.139124,-9.652814,-11.833656,25.89071,-15.802248,-24.700613,-27.766306,-8.445287,-29.201508
-70.676186,-34.236107,-6.670399,-4.107122,-9.608309,9.986081,6.894406,-2.908047,-5.286231,-5.5914173,2.5842726,-3.1351326,1.0139347,-1.8036921,1.5734588,-1.0375733,3.7131796,0.15652435,0.78402424,-1.1091713,-0.94679254,-0.38844073,3.3162208,-5.173444,2.42545,-3.7413166,2.0984766,2.227726,0.62603116,-1.5272309,1.1510757,1.6812332,-1.1252499,2.7135916,0.6665542,-0.07872889,-3.3708415,-2.576517,0.41333777,-3.9590359,-0.23686266,2.0461025,-1.8011854,-0.4614045,2.2719,0.62062734,0.8887769,-3.757804,-1.1726778,-3.7754037
-65.135315,-38.090416,-1.0793576,-2.3800719,-5.598221,8.369785,0.56481457,-4.433566,-9.384763,-5.1516113,3.3433464,-0.74414456,-2.0510654,-0.6697903,1.1596001,-0.51381403,1.8423038,0.033545993,-0.35501763,-2.5418568,-1.5288825,0.15226431,4.798885,-3.364787,2.3803897,-4.994889,2.1775806,3.6503868,0.82737774,-3.4916918,3.0841322,0.553892,1.0642267,1.1925647,-1.2333057,-1.3773406,-3.0525317,-5.5364113,0.56433064,-5.486012,1.0273443,0.6110411,-0.9686241,-1.6117289,3.1417792,2.3634822,1.5750397,-3.8215444,-0.21912098,-4.160685
-74.58161,-28.292332,-18.901794,-4.6041374,-15.568666,10.8007,-4.949759,-5.89805,-7.813004,-6.60314,-0.55426437,8.256009,2.0075731,-0.18349308,-3.3658848,3.5883415,-4.08826,5.240158,1.2514749,-0.027303288,-3.0928016,3.6424496,2.3560984,-2.5341125,-2.5890377,-6.674486,3.9250996,2.43444,0.9676142,1.8178567,0.89082545,0.53746045,0.121553354,2.9052322,0.32126912,-0.7481342,-1.8457195,-4.419327,-0.9613484,-1.9564694,1.465544,0.7553629,-4.2253437,-1.8703113,4.116489,0.22710681,4.024835,-0.7817528,-2.2000923,-2.205233
-81.12008,-30.652802,-11.819955,-2.874365,-19.35935,15.177544,4.007043,-8.200501,-5.2834325,-9.258907,-3.942171,5.715119,-0.30865237,-0.3421154,-0.3755881,0.6796615,-0.17353265,1.2115273,0.52656716,1.8955704,-4.8415523,0.81700027,1.5909718,-3.284063,-1.1776643,-2.738163,2.8269603,0.69044745,0.13947928,-1.4495385,-2.0257828,-3.0060682,1.3399167,4.161203,4.7536426,-0.6509857,-3.1438093,-5.58762,-2.5534587,-6.582508,0.7920124,1.8903219,-5.4404006,-4.0681915,5.0973673,4.3031983,8.68013,-0.98660433,-6.454169,-5.8579526
-17.519556,-26.385645,-2.149203,-10.686274,-22.033352,8.524189,35.72074,13.891009,9.107327,15.06104,-16.457306,-29.529642,33.588478,-17.94393,4.610415,-19.187025,46.108074,-9.153994,7.9215207,27.920776,26.498121,45.737503,23.86782,86.832306,8.935398,5.142997,-5.394468,17.69993,-1.0190458,3.5309992,27.358398,-2.458207,-7.0412965,-21.357666,-0.77197415,-2.5635977,0.56996644,2.8310845,5.325318,-0.8252401,-7.571917,7.6688294,1.1643802,4.4825215,3.3397796,3.009629,2.5277863,2.8031802,5.486141,1.6543363
16.270472,-71.04943,44.789284,-3.555236,21.437859,-8.485633,-5.511411,0.4171194,-13.063568,3.3837028,-4.966296,-11.298766,0.8545302,-7.7709603,-6.989328,-5.113884,-2.1663587,-4.5153637,-5.118866,-3.5755847,0.5649001,-0.10858977,2.1264286,0.32224715,-11.64925,-14.394568,8.207989,0.09557994,5.6288924,-11.443867,2.3466542,-8.551016,-6.462196,8.960739,-3.7885234,16.126783,-8.50991,-7.4443207,12.47222,-9.732022,2.9417562,0.455881,5.13924,2.8805969,-3.8697224,-2.2629755,-0.09141894,1.060507,2.9150865,1.602457
29.255194,-77.13765,48.17264,-6.8076386,25.663723,-8.372712,-10.999594,-3.767786,-15.325317,3.628292,-11.203769,-6.9462066,2.0875385,-7.989811,-11.594185,-5.223574,-5.6565723,-0.64343107,-9.185083,-5.1659904,4.2265315,5.930222,7.6099353,7.2212415,-7.6786103,-13.60198,4.8106804,-3.9016829,0.6463996,-7.492337,-2.5813458,2.9158742,-1.1347463,5.969474,-8.3784685,9.35001,4.4860177,-11.717368,-14.257204,-10.904341,-0.8739471,-8.6767845,0.5534244,4.218245,4.134811,-3.3742208,-0.12198066,1.2559179,-5.111279,-6.591642
-78.90554,-37.057316,-12.125893,-5.918548,2.607477,6.083339,-0.9400973,-8.041018,-11.583653,-4.309649,-3.728195,-8.671075,7.001561,-2.777417,0.87685764,-3.783475,-2.320864,1.627113,0.3741707,-2.2869356,-0.50909865,2.4949877,8.818508,-2.1806762,1.9544624,-3.457285,-0.8033732,0.38598952,-1.6113081,-4.176304,-3.5451176,2.596205,2.276272,5.6761994,0.881477,1.3229238,2.2400255,1.4401989,-8.8046875,-1.5906413,-2.7286017,-4.3620543,-3.6847513,1.0851051,4.048762,-2.0274081,0.37257293,0.4829927,-1.242974,-2.252119
